version,department,role,level,month_offset,productivity_pct,notes
Forecast,Sales,Account Executive,L3,0,0.25,AE ramp month 0
Forecast,Sales,Account Executive,L3,1,0.50,
Forecast,Sales,Account Executive,L3,2,0.75,
Forecast,Sales,Account Executive,L3,3,1.00,
Forecast,Sales,Account Executive,L4,0,0.40,
Forecast,Sales,Account Executive,L4,1,0.70,
Forecast,Sales,Account Executive,L4,2,1.00,
Forecast,Marketing,Demand Gen Manager,L4,0,0.60,
Forecast,Marketing,Demand Gen Manager,L4,1,1.00,
Forecast,R&D,Software Engineer,L4,0,0.50,
Forecast,R&D,Software Engineer,L4,1,0.80,
Forecast,R&D,Software Engineer,L4,2,1.00,
